group,file,source_sha256,before_intervals_seconds,after_intervals_seconds,before_flagged_variants_of_12,after_flagged_variants_of_12,variants_with_changed_intervals
rain on window ledge,WING (review required)-Wingbeats 2_01.wav,4f2f7043900298bc1c8749f8c89d16779d5440d7344a202bac9770a9810477cd,4-6,None,6,0,6
rain on window ledge,WING (review required)-Wingbeats 11_01.wav,81ec78d96330c6a02ba6a89ff25779e95a85074a0b87a23e5baa1f70ddf18e1c,4-6,None,6,0,6
rain on window ledge,WING (review required)-Wingbeats 3_01.wav,8a156a2f568bc69abd4f6172a3f956050d3d9e852f2fbf514b476186765d2f27,4-6,None,3,0,3
rain on window ledge,WING (review required)-Wingbeats 3_02.wav,42fe86ada490747b84af865b7f50cccca2f8db6c80edb248d2385e9c3d4397b9,4-9,None,12,0,12
rain on window ledge,WING (review required)-Wingbeats_01.wav,7398565bdaa4c4d0ab8ecd5f9b3072b6fe418159e14611e531a7362cf57634bb,4-6,None,3,0,3
insect ticking,WING (review required)-Wingbeats 2_02.wav,8b456b36a53ced0385b5878f2b0e14b54b48180c6d8c721c89372459e62dea9b,4-6,None,9,0,9
insect ticking,WING (review required)-Wingbeats 4_01.wav,0be05af38154e0010d44c520e6ca85c4ec1c14a4d61bd9cd282e6eff3defcde3,1-3; 4-6,None,12,0,12
insect ticking,WING (review required)-Wingbeats 3_01.wav,8577e089c9f047f6e75e7b8c7c9d1db34d1d63a83bcbce86eb183c8c3456aad7,4-6; 7-9,None,12,0,12
insect ticking,WING (review required)-Wingbeats 5_01.wav,d5c01c4021454b6df5841a065ff8bf00634223efac542f1973167c29b093e814,4-7,None,12,0,12
positive,common loon at 2 to 10 seconds.mp3,89a47638d741ca3cf7cce18b214a424ba65a1b13eaa7f682718d053f967479af,1-5; 6-8,1-5; 6-8,12,12,0
positive,common merganser at 3.7 to 6.7 seconds.mp3,27b6998ca344be67d69bb1b4a3018b4112892978933dcbf7adc1b7553716f6d1,None,None,0,0,0
positive,ruddy duck .1 to 6.5 seconds.mp3,66b7586d358b4cfe476c50c5bf396dac3fabefeac32575b5b3007dd2325df632,None,None,0,0,0
positive,great blue heron 3.5 to 13 seconds.mp3,1ec2ece04c66952a7f0635edae6c5d34cfba006d4dd21a13250b2af32606ffec,4-12,4-12,12,12,0
positive,bufflehead at 8 to 11 seconds.mp3,1235cd6fc626b70e15aca8af3ea9fba52e8395f1e16f2b8f14e8c4d675383892,None,None,0,0,0
positive,mallard wingbeats and quacks .2 to 10.4 seconds.mp3,d759dc3ed08aaad70ae195cc3ba31d767de0d5cbef6f6899c372c3bf7a762cfd,1-9,1-9,12,12,0
positive,double-crested cormorant at 1.5 to 7 seconds.mp3,c4ef332c506823e0ee713abc43a0329265c660406acca67d26ee4cf08bfca2e2,2-7,2-7,12,12,0
positive,green heron faint 7.3 to 9 seconds.mp3,04180025348c26352ebb2c17e306eb80800bea07bc5a06fd4d06f9af7274a110,7-9,7-9,12,12,0
positive,green-winged teal faint with vocalization whole file quiet to louder.mp3,21b64a3fb8c0e4d1a595f81cdc9d2103945e6b86d71641ab8bba1212e7fa1665,7-9,7-9,9,9,0
positive,mallard wing whistle.mp3,048b0b7f70f82d16fe00f5e59180a157b1e2d7d9b0756ce7d79bacb67abf54c5,1-3,1-3,12,12,0
positive,mute swan 2 seconds to 8 seconds.mp3,ade4326f196fc1dcd1f67e2d5b438bfae2de336d595fe399a34b8aa05384d23a,2-12,2-12,12,12,0
