source,file_id,filename,duration_sec,windows,detected_windows,merged_candidates,reference_validation_match,meta_id,meta_en,meta_gen,meta_sp,meta_ssp,meta_type,meta_q,meta_rec,meta_file_name,meta_length,meta_rmk,meta_url
xc_positive,XC1005819,XC1005819.wav,192.472,192,0,0,,1005819,European Nightjar,Caprimulgus,europaeus,,"song, wingbeats",B,Aku Kalliomäki,XC1005819-0806capreur_wingÄ.wav,3:12,,https://xeno-canto.org/1005819
xc_positive,XC1012720,XC1012720.wav,8.559,8,0,0,,1012720,Mourning Dove,Zenaida,macroura,,"flight call, wingbeats",B,Stanislas Wroza,XC1012720-Tourterelle-triste-battements-d-ailes.wav,0:08,,https://xeno-canto.org/1012720
xc_positive,XC1013493,XC1013493.wav,9.963,9,1,1,,1013493,Mourning Dove,Zenaida,macroura,,"flight call, wingbeats",A,Stanislas Wroza,XC1013493-Tourterelle-triste-vol-+.wav,0:09,,https://xeno-canto.org/1013493
xc_positive,XC1013537,XC1013537.wav,9.086,9,0,0,,1013537,Ruby-throated Hummingbird,Archilochus,colubris,,"flight call, wingbeats",B,Stanislas Wroza,XC1013537-Colibri-à-gorge-rubis-battements-d-ailes.wav,0:09,,https://xeno-canto.org/1013537
xc_positive,XC1013571,XC1013571.wav,4.95,4,0,0,,1013571,Surf Scoter,Melanitta,perspicillata,,"flight call, wingbeats",B,Stanislas Wroza,XC1013571-Macreuse-à-front-blanc-mâle-vol-sifflement.wav,0:04,,https://xeno-canto.org/1013571
xc_positive,XC1013572,XC1013572.wav,12.707,12,0,0,,1013572,Surf Scoter,Melanitta,perspicillata,,"flight call, wingbeats",A,Stanislas Wroza,XC1013572-Macreuse-à-front-blanc-mâle-vol-sifflement-+.wav,0:12,,https://xeno-canto.org/1013572
xc_positive,XC1013573,XC1013573.wav,13.845,13,0,0,,1013573,Surf Scoter,Melanitta,perspicillata,,"flight call, wingbeats",A,Stanislas Wroza,XC1013573-Macreuse-à-front-blanc-mâle-vol-sifflement-fond-Harelde-++.wav,0:13,,https://xeno-canto.org/1013573
xc_positive,XC1014022,XC1014022.wav,10.152,10,0,0,,1014022,Barrow's Goldeneye,Bucephala,islandica,,"flight call, wingbeats",C,Stanislas Wroza,XC1014022-Garrot-d-Islande-mâle-sifflement-d-ailes--.wav,0:10,,https://xeno-canto.org/1014022
xc_positive,XC1015700,XC1015700.mp3,20.139,20,1,1,,1015700,Eurasian Teal,Anas,crecca,,"call, flight call, nocturnal flight call, wingbeats",B,James P,XC1015700-Teal-Sat-Jul-12-2025-2317.mp3,0:20,Recorder runs all night in garden in semi-rural Bedfordshire. ,https://xeno-canto.org/1015700
xc_positive,XC1015793,XC1015793.wav,11.28,11,2,1,,1015793,Mute Swan,Cygnus,olor,,"nocturnal flight call, wingbeats",B,Arjun Dutta,XC1015793-Mute-Swan-21-4-25-home-nocmig.wav,0:11,"Slightly but minimally edited with HPF, NR, Amplification, Spectral Shelves.",https://xeno-canto.org/1015793
xc_positive,XC1017564,XC1017564.wav,54.137,54,4,1,,1017564,Tawny Owl,Strix,aluco,,"aberrant, alarm call, wingbeats",A,Aku Kalliomäki,XC1017564-1907stralu_ävarlento.wav,0:54,,https://xeno-canto.org/1017564
xc_positive,XC1017817,XC1017817.mp3,45.971,45,0,0,,1017817,Common Quail,Coturnix,coturnix,,"nocturnal flight call, Wingbeats.",A,Lars Mogensen,XC1017817-Vagtel-Øby-d-18-juli-25-kl.03.28.mp3,0:46,"Comming closerand closer with wingbeats, ""Mau-Wa"" calls and singing notes.  ",https://xeno-canto.org/1017817
xc_positive,XC1017862,XC1017862.wav,5.082,5,0,0,,1017862,Mourning Dove,Zenaida,macroura,,"flight call, wingbeats",B,Stanislas Wroza,XC1017862-Wed-May-22-2024-02-33-09-Tourterelle-triste-vol-ot=wingbeats-B.wav,0:05,,https://xeno-canto.org/1017862
xc_positive,XC1017864,XC1017864.wav,16.312,16,1,1,,1017864,Mourning Dove,Zenaida,macroura,,"flight call, wingbeats",B,Stanislas Wroza,XC1017864-Wed-May-22-2024-02-55-31-Tourterelle-triste-vol-ot=wingbeats-B.wav,0:16,,https://xeno-canto.org/1017864
xc_positive,XC1017870,XC1017870.wav,6.794,6,1,1,,1017870,Mourning Dove,Zenaida,macroura,,"flight call, wingbeats",B,Stanislas Wroza,XC1017870-Wed-May-22-2024-03-07-52-Tourterelle-triste-vol-ot=wingbeats-B.wav,0:06,,https://xeno-canto.org/1017870
xc_positive,XC1017881,XC1017881.wav,3.633,3,1,1,,1017881,Mourning Dove,Zenaida,macroura,,"flight call, wingbeats",B,Stanislas Wroza,XC1017881-Wed-May-22-2024-03-49-57-Tourterelle-triste-vol-ot=wingbeats-B.wav,0:03,,https://xeno-canto.org/1017881
